character,content,scene,sound,Cmt
P,P,P,X,"Phim hoạt hình 3d kung fu panda là bộ phim rất rất là đáng xem luôn ạ , tình tiết phim dễ thương lôi cuốn với chú gấu trúc hài hước , chi tiết hình ảnh phim rất đẹp ! Lôi cuốn từ đầu đến cuối bộ phim với sự tinh nghịch đáng yêu ngờ nghệch của "" thần Long"" !"
X,X,X,N,Âm thanh trong các cảnh hành động không đủ mạnh mẽ.
X,N,X,X,"Không hiểu sao phim này điểm cao như vậy Đi xem gần 2 tiếng đồng hồ mà chưa thấy tình tiết gì đáng xem.cứ kể chuyện dà lê thê.xem buồn ngủ quá sau gần 2 tiếng bán trụ ko thấy gì thì đã bỏ về.phim gì dở hơn cả phim vn cùi nữa.phí tiền,phí time"
O,X,X,X,"fan của Prime thì nên xem nha, hay xỉu á."
P,P,X,X,"Hay,cảm động và dể thương...10 điểm ko có nhưng và nữ chính rất rất xinh"
N,X,X,X,thật sự là chẳng thấy hay chỗ nào diễn viên diễn rất dở không bàn đến ngoại hình nó cứ nhạt nhạt như nào ấy ￼
X,O,X,X,Xem cũng được thay đổi rất nhiều khác nguyên tác khá nhiều
X,X,X,X,rồi xem phim xong kiểu “Đã bao nhiêu ngày rồi mà vẫn một mình đón đưa?”
X,X,X,X,Siêu nhân biến hình :)))
X,X,X,X,"Không xem trailer, mình quyết định nua vé trong 1s và đến xem. Thực sự khá hài lòng, đáng tiền và thời gian. Phim hơi lâu hơn dự kiến, 10h bắt đầu và tầm 1h30 sáng mới hết phim nhưng thật sự trong mấy tiếng xem phim mình không hề có cảm giác chán hay lơ đãng."
X,P,X,X,"Đáng đồng tiền bát gạo, đáng 3 tiếng rưỡi ngồi trong rạp, không có một chi tiết thừa. Nhưng mà thật sự phim chỉ hợp với người kiên nhẫn, tại đối với mình đoạn cao trào phải tầm sau 2 tiếng xem mới tới 🥲"
X,X,X,X,"Vừa dở, nữ quyền, lại thay đổi màu da. Mang rạp sớm ngừng chiếu sớm"
X,X,X,X,"Xem hài cực kỳ, đánh để xem bộ phim hoạt hình này😆"
X,X,P,P,"Nhịp phim rất nhanh luôn nha. Coi cuốn lắm, Lồng tiếng rất hay"
X,X,X,O,Dở thật đấy hở ra là hát hò lê thê nhồi nhét ko đúng chỗ nội dung chắp vá ! Nói phim này làm để kỉ niệm 100 năm Disney đúng là trò cười
X,X,X,X,Phim gì mà hay dữ dậy trời . Phần nào cũng hay hết
O,O,O,X,"Nếu bạn đi coi với tâm thế là một bộ phim xuất sắc thì có thể nó sẽ khó chạm đến bạn. Độ hay của phim sẽ tuỳ thuộc vào các trải nghiệm cá nhân, những thứ đã xảy ra trong cuộc sống để đạt được sự đồng cảm. Riêng mình coi phim, mình ko khóc nhiều vì tình yêu"
X,P,X,X,"Cốt truyện logic có liên kết chặt chẽ, nội hàm phim cũng có ý nghĩa là sự đoàn kết, đặc biệt là dẫn dắt từ bất ngờ này sang bất ngờ khác cực kì hấp dẫn, làm mình cuốn theo mà không thể bỏ lỡ chi tiết nào. Coi lúc cuối mọi người đoàn kết bảo vệ thế giới nhìn"
X,X,X,X,ai đi xem thì phải chuẩn bị khăn giấy nhé vì nước mắt nước mũi chảy sẽ từa lưa
P,P,P,P,"phim quá hay , khúc đầu cười muốn lộn ruột , khúc cuối khóc muốn trôi rạp🥲 , diễn viên diễn quâ chuyên nghiệp , nhạc hay nói chung là đỉnh của đỉnh"
P,X,X,X,"Cảm ơn Fubao, luôn hạnh phúc nha bé yêu ❤️"
X,O,X,X,"phim thuần giải trí nên xem khá dễ thương, nội dung hơi cổ tích thần thoại nên si nghĩ bay bổng nha mấy bà, hẹn hò cuối tuần hay đi xem với gia đình là hạp lý"
X,X,X,X,Film tạm ổn- dài dòng- thấy bình thường
X,X,X,X,"Mình thấy phim khá hay vs mình chứ k như mng review. K biết nói chi tiết như nào, nma mình nghĩ là nó đáng để xem qua 🥰🥰"
X,X,N,X,"Phục trang của các nhân vật được làm vừa đủ, không quá cầu kỳ."
X,O,X,X,"Hay ạ, tuy nhiên mới là phần đầu nên sẽ ko có quá nhiều tình tiết kịch tính quá nha"
O,N,X,X,"Phim không có điểm nhấn gì hết, siêu buồn ngủ, kịch bản rời rạc. Xem vì LDW nhưng anh chú không cứu nổi kịch bản phim -.-"
X,X,P,O,"Phim rất giải trí, nhiều phân cảnh hài hay và đáng xem nha mọi người. Bản lồng tiếng nên tiết chế"
X,O,X,X,Cứ tưởng Day One thì nó sẽ giải thích cụ thể hơn về mấy con Monster nhưng chả có gì cả. Vẫn 1 lí do là thiên thạch :v thậm chí còn không cung cấp thông tin là bọn này khỏe tới đâu. Nói chung mình đánh giá đây là phần phim mang tính vắt sữa
X,X,X,X,"Với mội người khó tính như mk thì phim đáng xem , tất cả mọi yếu tố đều ở mức đủ và tuyệt"
O,X,X,O,"Âm thanh trong phim khá hài hòa với bối cảnh, nhưng không thật sự gây ấn tượng."
X,X,X,N,"Âm thanh trong phim thiếu sự sống động, không lôi cuốn."
P,P,X,X,2 tài tử yêu thích của mình cùng trong 1 bộ phim luôn! Khắc hoạ bộ lạc Osage quá chân thật. Bộ phim đáng xem!
X,O,X,X,Đi xem phim cho đỡ buồn nma xem xong buồn hơn nha 🥲. Phim xuất sắc ạ ❤️
X,P,P,X,"Phim rất hay mn nhé. Mh thích phim này tới mức phần 1 phải coi đi coi lại trên 10 lần rồi. P2 này thật sự rất là hay luôn. Kịch bản kịch tính, có những đoạn tình cảm ae gia đình cũng hay. Kĩ sảo thì khỏi phải bàn tới rồi. K có gì để chê luôn"
X,X,X,O,"Âm thanh không quá mạnh, giúp phim dễ dàng thưởng thức."
N,N,X,X,thấy nó cũng bth kiểu sao ta cái kết hơi ấy ấy còn th kia khốn nạn quá nên cho 8 sao
X,X,X,X,"Nhạt nhẽo, phí tiền, nhảm nhí,mất thời gian. đó là cảm nhật của mình sau khi xem xong bộ phim. đánh giá 2 điểm trên thang điểm 100. — Chưa bao giờ mình bình luận về 1 bộ phim. nhưng xem xong phim này thực sự rất tụt cảm xúc."
X,O,X,X,"phim j mà nội dung buồn thế, rất nên xem (nên dẫn bạn thân theo) (nếu ko có thì nên tự mang khăn giấy)"
P,X,X,X,"phim này dth lắm í, kiểu là phim hoạt hình nên nội dung đơn giản, nhân vật dễ hiện diện đồ là tốt ròiii. Coi phim để giải trí, phim là thể loại hoạt hình nên mn đừng đặt nặng quá nhiều nè. Nhưng mà tui có thấy mấy b kêu là ít minion đồ quá, no noooo, này là kẻ"
X,X,X,X,"thấy phim hongkong mình cũng kỳ vọng, do đặt vé coi gấp mình kh có xem đánh giá gì hết. Dô coi xong cái khờ người luôn 🙂 dở điên, ta nói coi xong t zẫn chưa kịp hoàn lại tâm trí luôn bây ơi bây 🙉 đừng có đi coi kh thoi tứk chớt 🥲🥲"
X,X,X,P,Đã xem 2 lần rồi. 1 lần Phụ đề và 1 lần lồng tiếng. Nhạc thì phụ đề hay hơn còn về tổng thể thì lồng tiếng lại hay hơn ❤️
P,X,X,X,Diễn viên siêu sinh nha mn sieu thân thiện. Đáng xem lắm nha mn
X,X,X,X,phim hay vậy mà mn chê k hiểu nổi.
X,X,N,X,"Phong cảnh trong phim rất đơn điệu, không tạo được dấu ấn gì đặc biệt."
X,X,X,X,nhớ ngồi đợi XEM AFTER CREDIT nha mọi người =))))
O,X,X,X,"Một mình đi xem conan, kk ko uổn công 🤣 . Phim hay quá trời..."
X,X,X,X,Nhạt nhẽo. :(
N,X,X,X,Biểu cảm của diễn viên không truyền đạt được cảm xúc cần thiết.
X,P,X,X,nội dung hay
X,N,N,X,"Theo góc nhìn của mình thì bộ phim này không mang tới cảm giác mình muốn như bao bộ phim thể loại kinh dị khác, thứ nhất việc mà hồn ma nhà Park thoát ra nói sẽ đi báo thù hết hậu duệ trong gia tộc vì để ông phải 1m nói lạnh lẽo sau đó thì phim làm mình thất vọng"
P,O,O,O,I tried not to cry. I was holding back tears. I was struggling with myself. And I almost succeeded. But when the credits started rolling I burst into tears 🤧. Failed. Thank God I had tissues. 8 crying smilies (😭) out of 10 crying smilies (😭) War sucks
P,X,X,X,"phân cảnh đầu phim phải nói CTL ngầu v-oãi luôn 🥹🥹 mong đợi cảnh mấy lão làng bụp nhau mà hỏng có mấy, nên coi áhhh"
X,X,X,X,Mình thích phim này
P,N,X,X,"-1₫ kết hơi nhạt xíu chứ aiu Jung Haein 💯₫, đẹp trai đánh đấm hay dã mannn"
X,X,X,X,Cũng hay nha
P,P,P,X,"Tôi xem phim buổi xế. Vì quá hay, nên tôi đi xem lần 2 vào buổi tối cùng ngày! Siêu hay! Siêu cảm động và nhân văn! Duy mỹ! Đẹp trong từng cảnh quay, đẹp trong cách kể chuyện, và Đẹp trong triết lý sống của các vai chính. Là những ngừơi bình thừơng và cư xử như cách bình thừơng nhưng mang đến ý nghĩa vô cùng cao quý trong cuộc sống!"
O,X,X,X,Một vài nhân vật phụ chưa được khai thác hết tiềm năng.
X,X,P,P,Hình ảnh rõ nét âm thanh sống động.. cho các bạn nhí xem thì hay đó!! Mình lớ xem thấy hơi có chút🤣🤣
O,O,X,X,"Phần này xem cũng ổn , thấy hơi hụt hẫn nhẹ vì tụi nhóc minion ko có thể hiện sức mạnh nhiều như mình mong đợi Phòng rộng rãi thoái mái có đúng cặp mình đi xem , tuyệt vời 👌🏻👌🏻👌🏻"
X,X,O,O,"Các bối cảnh và âm thanh hợp lý, nhưng không tạo được sự kịch tính."
N,X,X,N,"Hiệu ứng âm thanh không tốt, diễn xuất cũng chẳng cứu được phim."
X,P,X,X,Cảm động quá trời😭 phim nhẹ nhàng mà thấu xỉu
X,X,P,X,"21/6, một ngày trời mưa hơi nhiều, cũng không thoải mái cả tinh thần lẫn trang phục :))) nhưng bộ phim mang lại cảm xúc bình yên, nhẹ nhàng, cho mình thêm một niềm tin giá trị về gia đình. Cũng nhắc mình cần dành thêm thời gian cho những người thân yêu."
N,X,X,O,"Dễ thương, có xíu hài hước, đi xem ngày thường giết thời gian thì đc chứ cuối tuần thì t sẽ ko chọn :)) À nếu ko dắt theo trẻ con thì nên coi vietsub nha, lồng tiếng nv phụ thì hay còn nv9 Trân phản diện dở, nhiều khúc đọc ngang phè sượng trân,xem lồng tiếng"
P,P,P,P,"Qua bộ phim này, tớ nhận ra rằng chúng ta khám phá năng lực bên trong để tự tin vào chính mình, nếu yêu thích thì sẽ luyện tập để tốt hơn! Ko có bảo bối nào có thể giúp chúng ta tốt toàn diện hết! Ví dụ như Nobita ko thổi sáo hay thì phải luyện tập! Cảm nhận"
O,P,X,N,"Rất hay nha. Nội dung kịch tính, rất cuốn. Đáng để trải nghiệm không phí tiền nha. Điểm trừ là lời thoại pha vài từ ngữ hiện đại, thoại nhiều lúc nghe không rõ phải hỏi người kế bên xem nhân vật đang nói gì để kịp nắm bắt 🥹🥹"
P,X,X,X,"Diễn xuất các nhân vật phải nói là đỉnh, mỗi tội phim hơi dài ngồi xem 3.5h hơi ê người, rất đáng xem nhe mng"
P,O,X,X,"Dù kịch bản rất dễ đoán nma cũng cảm động lắm mng,chú Quyền Linh diễn cũng hay lắm, nên xem nha mng"
X,P,P,P,Quá đã âm thanh tuyệt vời muốn coi lại lần 2 Coi ở nhà với ở rạp khác hoàn toàn nha tiếc gì mà ko đi đi nè Movie này coi nhờ có nhạc nên các tình tiết gây cấn hơn
X,X,O,X,"Tình tiết phim được xử lý mượt mà, nhưng không để lại nhiều dư âm cảm xúc."
X,X,X,X,Đỉnh ác
P,P,X,X,"ai muốn giải trí thì xem phim này đúng chuẩn luôn, nội dung cũng okela nữa"
O,X,X,O,"Nhân vật trong phim được lồng tiếng ổn, nhưng không gây ấn tượng mạnh."
O,X,X,O,"Lồng tiếng của diễn viên chính rõ ràng, nhưng thiếu sự biểu cảm."
X,X,X,X,Phim xịn thật sự 🫶🏻
P,X,X,X,"Đỉnh chóp nha , quá xịn luôn. Diễn viên đẹp hú hồn đó giờ"
X,X,X,X,Quá tuyệt 🙌
X,X,X,X,Đáng iu
P,P,O,X,"Điểm cộng là cốt truyện và cách khai thác kịch bản, diễn xuất nhất là Lily Gladstone (Robert De Niro và Leo mình không đề cập nữa vì xuất sắc rồi), phim nhiều chi tiết văn hoá bản địa rất hay mà sau khi xem xong mình về tìm hiểu được. Điểm trừ là mạch phim ít"
X,X,X,X,Hay lắm mọi người oii. Nên đi. Cười dã man. Cá nhân mình thấy hay hơn Lật mặt:)) đáng tiền lắm
X,O,P,X,"- Motip phim không mới, kết phim cũng không phải khó đoán. Nhưng cảnh quay đẹp, nó là một thước phim đan xen giữa hiện tại khắc nghiệt - ngộp ngạt cùng quá khứ của tuổi 18 nhiệt huyết - có chút khờ khạo của ảnh :))) - Là một cuộc hành trình chữa lành, đi tìm"
X,N,X,X,"Phim dở ơi là dở, dở quá chời dở, dở mà kiểu coi xong bực mình luôn đó, đoán trước hết được kịch bản phim. Tốt nhất đừng nên đi coi, giàu đâu không thấy, nói chung không liên quan gì tới nhau hết 🤮"
X,X,X,X,đoạn đầu hơi chán nhma về sau khá vui và hay
O,X,X,O,"Nhân vật trong phim có sự lồng tiếng hợp lý, nhưng không tạo được nhiều cảm xúc."
N,X,X,N,Không có gì đáng nhớ vì cả âm thanh và diễn xuất đều quá yếu.
X,P,P,X,"Phim hay thật sự nha, theo tui phim từ sau Quỷ Ăn Tạng thì chỉ có phim này là thật sự ""đáng sợ"". Cảm giác vừa bị con quỷ dí chạy hay các cảnh jump scare làm nhớ lại cảm giác hồi xưa chơi ma lon sợ bị dí á. Phim hay, màu sắc phim không quá tối, nội dung thì tạm dc. Nhưng các cảnh hù, nhát ma thì quá đỉnh. Làm cho bản thân lúc nào cũng bất an á. Nói chung là tui khuyên mấy bà đi coi nha, không hề phí tiền."
X,X,X,X,Coi phim mà rạp hok mở máy lạnh. Nóng vãi
P,P,P,P,"Với tâm thế chưa đọc cuốn này đi coi phim thì mình thấy hay. Hay từ nhạc phim, màu phim đẹp, diễn viên đẹp kịch bản thì khỏi bàn. Cảm xúc phim cũng khoảng 8₫. Tóm lại là ổn, ghế da của lotte quá là oke, lần sau book tiếp hẹe"
X,X,X,X,rất đáng xem nha mn ơi 💯💯💯💯💯💯
N,X,X,X,diễn rất chán.
X,N,X,X,"Kết xàm, coi phim nhức nhức nhức đầu, né nhẹ"
X,X,X,O,"Âm thanh của phim có chất lượng ổn định, không có lỗi lớn nào."
O,X,X,X,"Film điện ảnh đầu tiên của cá nhân The Flash, rất đáng xem. Nếu ai đã theo dõi qua serie rồi thì dễ hiểu hơn nhiều, còn ai mới xem thì sẽ có 1 chút bỡ ngỡ, nhưng vẫn có thể xem được. Với mình thì đáng xem hơn Justice League =]] (phim trước đó có nhân vật TF)"
N,N,N,X,"Phim nhìn chung là nhạt. Đã thuộc dòng phim quái vật, thì chủ yếu là đánh nhau nhưng cảnh cuối thì xịt quá. Khỉ Scar tưởng hùng mạnh thế nào nhưng xịt toàn tập. Xịt từ solo với Kong lúc mới gặp cho đến lúc combat trận cuối. Quá yếu so với mô tả. Cảnh combat cuối được mong chờ nhất thì kết thúc quá lãng xẹt. Hoàn toàn k thể hiện được sức mạnh của các bên. Đánh hội đồng vẫn được đề cao thay vì hợp tác tác chiến hoặc solo tay đôi."
P,P,P,P,"ĐÁNG XEM nha cả nhà. Nhất là những gia đình có con gái, phim Disney chưa bao giờ làm tui thất vọng mà. Cảnh đẹp, nhạc hay, diễn viên đẹp, có gây cấn, có hài hước, có sâu lắng, có tình cảm, có yêu thương,… Đúng là có tình tiết nó bất hợp lý thiệt, mà truyện cổ"
